"key","event","digit","counter","start","end","participant"
"A","Artifact",0,0,6.12349335606773,25.4157896284102,"1"
"A","Artifact",0,1,52.3285769931797,60.7943541274694,"1"
"A","Artifact",0,2,67.07784204492,74.3019718661806,"1"
"A","Artifact",0,3,125.572814998824,139.042807061383,"1"
"A","Artifact",0,4,287.42490298683,301.158274782455,"1"
"A","Artifact",0,5,343.699961047742,349.569566527516,"1"
"A","Artifact",0,6,881.705800211665,897.245204462606,"1"
"A","Artifact",0,7,898.674980156397,907.780393785278,"1"
"A","Artifact",0,8,1752.79694482008,1763.97177063735,"1"
"A","Artifact",0,9,2013.91728524812,2020.50177857479,"1"
"A","Artifact",0,10,2494.3311676858,2500.08789613711,"1"
"A","Artifact",0,11,2650.20077316557,2656.55951243532,"1"
"F1","Slow Waves",1,0,1623.91728524812,1625.87382040804,"1"
"F1","unclear event",1,0,288.015802685018,294.917655685921,"4"
"A","Artifact",0,0,211.935283251232,213.747914100985,"8"
"A","Artifact",0,1,1712.69897997654,1723.27167392761,"8"
"A","Artifact",0,2,2951.27427262931,2967.23330511084,"8"
"A","Artifact",0,3,3849.0683310992,3870.19227337467,"8"
"A","Artifact",0,4,3870.59730856233,3899.8062520945,"8"
"A","Artifact",0,0,648.72182112069,660.267491533251,"9"
"A","Artifact",0,1,727.057935652709,730.762007389163,"9"
"A","Artifact",0,2,743.292803263547,746.445204741379,"9"
"A","Artifact",0,3,795.648229679803,811.252616995074,"9"
"A","Artifact",0,4,1682.21111838054,1700.96790717365,"9"
"A","Artifact",0,5,2027.46086052956,2029.35230141626,"9"
"A","Artifact",0,6,2663.2139932266,2666.64222983374,"9"
"A","Artifact",0,7,2759.53157712438,2765.40292487685,"9"
"A","Artifact",0,8,3062.28992841749,3063.98434421182,"9"
"A","Artifact",0,9,3075.33298953202,3078.17015086207,"9"
